Ref,Pin,Net,Sheet
J101,1,VIN_A,1
J101,2,GND,1
J102,1,VIN_B,1
J102,2,GND,1
F101,1,VIN_A,1
F101,2,A_FUSED,1
D101,A,A_FUSED,1
D101,K,VSYS,1
F102,1,VIN_B,1
F102,2,B_FUSED,1
D102,A,B_FUSED,1
D102,K,VSYS,1
D103,K,VSYS,1
D103,A,GND,1
C101,1,VSYS,1
C101,2,GND,1
TP101,1,VSYS,1
TP102,1,GND,1
U201,1,VSYS,2
U201,2,GND,2
U201,3,+5V,2
C201,1,VSYS,2
C201,2,GND,2
C202,1,+5V,2
C202,2,GND,2
C203,1,+5V,2
C203,2,GND,2
D201,K,VSYS,2
D201,A,+5V,2
U202,1,GND,2
U202,2,+5V,2
U202,3,+3V3,2
C204,1,+5V,2
C204,2,GND,2
C205,1,+3V3,2
C205,2,GND,2
F301,1,VSYS,3
F301,2,BR_SOURCE,3
Q301,1,BR_GATE,3
Q301,2,BR_OUT,3
Q301,3,BR_SOURCE,3
R301,1,BR_SOURCE,3
R301,2,BR_GATE,3
D301,K,BR_SOURCE,3
D301,A,BR_GATE,3
R302,1,BR_GATE,3
R302,2,Q302_C,3
Q302,1,GND,3
Q302,2,Q302_B,3
Q302,3,Q302_C,3
R303,1,BR_EN,3
R303,2,Q302_B,3
R304,1,Q302_B,3
R304,2,GND,3
J301,1,BR_OUT,3
J301,2,GND,3
J302,1,BR_EN,3
J302,2,GND,3
R411,1,IGN_RAW,4
R411,2,IGN_RAW_MID,4
R412,1,IGN_RAW_MID,4
R412,2,IGN_RAW_LED,4
U401,1,IGN_RAW_LED,4
U401,2,GND,4
U401,3,GND,4
U401,4,IGN_N,4
D401,K,IGN_RAW_LED,4
D401,A,GND,4
R413,1,+3V3,4
R413,2,IGN_N,4
C401,1,IGN_N,4
C401,2,GND,4
R421,1,SEL_RAW,4
R421,2,SEL_RAW_MID,4
R422,1,SEL_RAW_MID,4
R422,2,SEL_RAW_LED,4
U402,1,SEL_RAW_LED,4
U402,2,GND,4
U402,3,GND,4
U402,4,SEL_N,4
D402,K,SEL_RAW_LED,4
D402,A,GND,4
R423,1,+3V3,4
R423,2,SEL_N,4
C402,1,SEL_N,4
C402,2,GND,4
J401,1,IGN_RAW,4
J401,2,SEL_RAW,4
J401,3,GND,4
J402,1,IGN_N,4
J402,2,SEL_N,4
J402,3,GND,4
U501,1,+3V3,5
U501,2,GND,5
U501,3,+5V,5
U501,4,CAN_RX_IC,5
U501,5,+3V3,5
U501,6,CAN_L,5
U501,7,CAN_H,5
U501,8,+3V3,5
C501,1,+5V,5
C501,2,GND,5
C502,1,+3V3,5
C502,2,GND,5
R501,1,CAN_RX_IC,5
R501,2,CAN_RX,5
J501,1,CAN_H,5
J501,2,CAN_L,5
J501,3,GND,5
J502,1,CAN_RX,5
J502,2,GND,5
